"id","fk_lijsten_parent","naam","bron","zie_naam","is_alias","app_state"
"199","5","tekening",NULL,NULL,NULL,"1"
"200","5","stempel",NULL,NULL,NULL,"1"
"203","5","lithografie",NULL,NULL,NULL,"1"
"205","1","briefpapier",,"briefpapier en enveloppen","1","1"
"208","1","waardepapier",NULL,NULL,NULL,"1"
"209","1","zakje",NULL,NULL,NULL,"1"
"210","1","ex libris",NULL,NULL,NULL,"1"
"214","5","geringd",NULL,NULL,NULL,"1"
"219","1","tas",NULL,NULL,NULL,"1"
"221","1","oorkonde",NULL,NULL,NULL,"1"
"222","1","cd-hoes",NULL,NULL,NULL,"1"
"223","1","bordspel",NULL,NULL,NULL,"1"
"227","6","linnen",NULL,NULL,NULL,"1"
"228","6","houtvrij papier",,,NULL,"1"
"230","6","perspex",NULL,NULL,NULL,"1"
"231","5","computeruitdraai",,"computerprint","1","1"
"235","6","katoen",,,NULL,"1"
"237","6","hout",NULL,NULL,NULL,"1"
"239","5","diversen",,"divers","1","1"
"242","6","kunststof",NULL,NULL,NULL,"1"
"243","6","vinyl",NULL,NULL,NULL,"1"
"244","6","polyethyleen",NULL,NULL,NULL,"1"
"245","5","divers",NULL,NULL,NULL,"1"
"246","1","letterproef","A&amp;AT: 201018",,NULL,"1"
"247","1","periodiek",,"tijdschrift","1","1"
"248","1","sticker",NULL,NULL,NULL,"1"
"249","1","wikkel",NULL,NULL,NULL,"1"
"250","5","foliedruk",NULL,NULL,NULL,"1"
"253","5","geperforeerd",NULL,NULL,NULL,"1"
"254","6","folie",,,NULL,"1"
"256","5","snelhechter",NULL,NULL,NULL,"1"
"258","1",,NULL,NULL,NULL,"1"
"260","1","aankondiging",NULL,NULL,NULL,"1"
"263","5","geplakt",NULL,NULL,NULL,"1"
"265","6","lijm",NULL,NULL,NULL,"1"
"266","5","gelijmd dmv papieren strip",,"gelijmd in papieren band","1","1"
"272","6","elastiek",NULL,NULL,NULL,"1"
"273","5","textieldruk",NULL,NULL,NULL,"1"
"274","6","rubber",NULL,NULL,NULL,"1"
"278","5","ringband",NULL,NULL,NULL,"1"
"281","5","gelumbeckt",NULL,NULL,NULL,"1"
"282","9","Goed, één exemplaar licht beschadigd",,"Goed","1","1"
"283","9","Matig, reep karton aan achterkant geplakt.",,"Matig","1","1"
"284","9","redlijk",,"Matig","1","1"
"285","8","matig",NULL,NULL,NULL,"1"
"286","8","goed",NULL,NULL,NULL,"1"
"287","8","slecht",NULL,NULL,NULL,"1"
"288","4","Amsterdam",,,NULL,"1"
"289","4","Den Haag",,,NULL,"1"
"290","4","IJsselstein",,,NULL,"1"
"291","4","De Hoef",,,NULL,"1"
"292","4","Enschede",,,NULL,"1"
"293","4","Rotterdam",,,NULL,"1"
"294","4","Utrecht",,,NULL,"1"
"295","4","Hilversum",,,NULL,"1"
"296","4","Fürth",,,NULL,"1"
"297","4","Weesp",,,NULL,"1"
"298","11","H.N. Werkmanprijs",,,NULL,"1"
"299","11","G.J. Thiemefonds",,,NULL,"1"
"300","11","Best Verzorgde Boek",,,NULL,"1"
"301","11","David Roëllprijs",,,NULL,"1"
"302","11","F. Duwaerprijs",,,NULL,"1"
"303","11","Oeuvreprijs, Stichting Fonds voor de Beeldende Kunsten Amsterdam",,,NULL,"1"
"304","11","Afficheprijs, Genootschap voor de Reclame",,,NULL,"1"
"305","11","Afficheprijs, Benelux Affiche Tentoonstelling",,,NULL,"1"
