"rol","fk_persoon_instelling","fk_object"
"0","8","5183"
"0","8","5184"
"0","8","5185"
"0","8","5186"
"0","8","5187"
"0","8","5188"
"0","8","5189"
"0","8","5191"
"0","8","5192"
"0","8","5193"
"0","8","5194"
"0","8","5195"
"0","8","5196"
"0","8","5197"
"0","8","5198"
"0","8","5199"
"0","8","5200"
"0","8","5201"
"0","8","5202"
"0","8","5203"
"0","8","5207"
"0","8","5208"
"0","8","5209"
"0","8","5210"
"0","8","5211"
"0","8","5212"
"0","8","5213"
"0","8","5214"
"0","8","5215"
"0","8","5219"
"0","8","5220"
"0","8","5221"
"0","8","5222"
"0","8","5223"
"0","8","5224"
"0","8","5225"
"0","8","5228"
"0","8","5229"
"0","8","5231"
"0","8","5232"
"0","8","5233"
"0","8","5234"
"0","8","5235"
"0","8","5236"
"0","8","5237"
"0","8","5238"
"0","8","5239"
"0","8","5240"
"0","8","5241"
"0","8","5242"
"0","8","5243"
"0","8","5244"
"0","8","5245"
"0","8","5246"
"0","8","5247"
"0","8","5248"
"0","8","5252"
"0","8","5253"
"0","8","5254"
"0","8","5256"
"0","8","5266"
"0","8","5267"
"0","8","5268"
"0","8","5269"
"0","8","5271"
"0","8","5272"
"0","8","5273"
"0","8","5274"
"0","8","5275"
"0","8","5276"
"0","8","5277"
"0","8","5278"
"0","8","5279"
"0","8","5280"
"0","8","5281"
"0","8","5282"
"0","8","5283"
"0","8","5284"
"0","8","5285"
"0","8","5286"
"0","8","5287"
"0","8","5288"
"0","8","5289"
"0","8","5328"
"0","8","5340"
"0","8","5341"
"0","8","5342"
"0","8","5343"
"0","8","5344"
"0","8","5346"
"0","8","5347"
"0","8","5348"
"0","8","5349"
"0","8","5350"
"0","8","5351"
"0","8","5352"
"0","8","5353"
"0","8","5354"
"0","8","5355"
"0","8","5356"
"0","8","5357"
"0","8","5358"
"0","8","5359"
"0","8","5360"
"0","8","5361"
"0","8","5362"
"0","8","5567"
"0","8","5568"
"0","8","5569"
"0","8","5570"
"0","8","5571"
"0","8","5572"
"0","8","5573"
"0","8","5576"
"0","8","5577"
"0","8","5578"
"0","8","5579"
"0","8","5580"
"0","8","5581"
"0","8","5582"
"0","8","5583"
"0","8","5584"
"0","8","5588"
"0","8","5589"
"0","8","5590"
"0","8","5591"
"0","8","5593"
"0","8","5594"
"0","8","5595"
"0","8","5596"
"0","8","5597"
"0","8","5598"
"0","8","5599"
"0","8","5602"
"0","8","5603"
"0","8","5604"
"0","8","5605"
"0","8","5606"
"0","8","5607"
"0","8","5608"
"0","8","5609"
"0","8","5610"
"0","8","5611"
"0","8","5612"
"0","8","5613"
"0","8","5614"
"0","8","5615"
"0","8","5616"
"0","8","5617"
"0","8","5618"
"0","8","5619"
"0","8","5620"
"0","8","5621"
"0","8","5622"
"0","8","5623"
"0","8","5624"
"0","8","5625"
"0","8","5628"
"0","8","5629"
"0","8","5630"
"0","8","5631"
"0","8","5632"
"0","8","5635"
"0","8","5636"
"0","8","5638"
"0","8","5639"
"0","8","5640"
"0","8","5645"
