"id","fk_lijsten","fk_object","fk_persoon_instelling","ranking","is_ontwerp"
"6050","27","3658","951",NULL,"1"
"6051","27","3659","951",NULL,"1"
"6052","27","3660","940",NULL,"1"
"6053","27","3661","940",NULL,"1"
"6054","27","3662","940",NULL,"1"
"6055","27","3663","941",NULL,"1"
"6056","27","3663","951",NULL,"1"
"6057","27","3664","951",NULL,"1"
"6058","27","3665","951",NULL,"1"
"6062","27","3668","941",NULL,"1"
"6063","27","3668","943",NULL,"1"
"6064","27","3669","947",NULL,"1"
"6065","27","3670","951",NULL,"1"
"6068","27","3673","947",NULL,"1"
"6069","27","3674","940",NULL,"1"
"6070","27","3674","941",NULL,"1"
"6071","27","3676","946",NULL,"1"
"6072","27","3677","1292",NULL,"1"
"6073","27","3678","941",NULL,"1"
"6074","27","3679","940",NULL,"1"
"6075","27","3680","940",NULL,"1"
"6076","25","3680","975",NULL,NULL
"6080","27","3682","942",NULL,"1"
"6083","27","3685","941",NULL,"1"
"6084","27","3686","942",NULL,"1"
"6085","27","3687","942",NULL,"1"
"6086","27","3688","941",NULL,"1"
"6087","27","3688","940",NULL,"1"
"6088","27","3689","941",NULL,"1"
"6089","27","3689","940",NULL,"1"
"6090","27","3690","941",NULL,"1"
"6091","27","3690","940",NULL,"1"
"6092","27","3691","941",NULL,"1"
"6093","27","3692","941",NULL,"1"
"6094","27","3693","940",NULL,"1"
"6095","27","3694","941",NULL,"1"
"6096","27","3695","941",NULL,"1"
"6097","27","3696","942",NULL,"1"
"6098","27","3697","940",NULL,"1"
"6099","27","3698","942",NULL,"1"
"6100","27","3699","942",NULL,"1"
"6101","27","3700","942",NULL,"1"
"6102","27","3701","942",NULL,"1"
"6103","27","3702","955",NULL,"1"
"6104","27","3703","951",NULL,"1"
"6105","27","3704","940",NULL,"1"
"6106","27","3704","942",NULL,"1"
"6107","27","3705","940",NULL,"1"
"6108","27","3705","942",NULL,"1"
"6110","27","3707","940",NULL,"1"
"6111","27","3707","942",NULL,"1"
"6112","27","3708","940",NULL,"1"
"6113","27","3708","942",NULL,"1"
"6114","27","3709","940",NULL,"1"
"6115","27","3709","942",NULL,"1"
"6116","27","3710","940",NULL,"1"
"6117","27","3710","942",NULL,"1"
"6118","27","3711","1292",NULL,"1"
"6119","27","3711","940",NULL,"1"
"6120","27","3711","942",NULL,"1"
"6130","27","3715","940",NULL,"1"
"6131","25","3715","634",NULL,NULL
"6132","85","3715","962",NULL,NULL
"6136","27","3717","940",NULL,"1"
"6137","25","3717","634",NULL,NULL
"6138","85","3717","962",NULL,NULL
"6139","27","3718","940",NULL,"1"
"6140","25","3718","634",NULL,NULL
"6141","85","3718","962",NULL,NULL
"6142","27","3719","940",NULL,"1"
"6143","25","3719","634",NULL,NULL
"6144","85","3719","962",NULL,NULL
"6145","27","3720","940",NULL,"1"
"6146","25","3720","634",NULL,NULL
"6147","85","3720","962",NULL,NULL
"6148","27","3721","940",NULL,"1"
"6149","25","3721","634",NULL,NULL
"6150","85","3721","962",NULL,NULL
"6151","27","3722","940",NULL,"1"
"6152","25","3722","634",NULL,NULL
"6153","85","3722","962",NULL,NULL
"6195","27","3734","941",NULL,"1"
"6196","85","3734","988",NULL,NULL
"6199","27","3736","941",NULL,"1"
"6200","25","3736","990",NULL,NULL
"6201","27","3737","951",NULL,"1"
"6202","25","3737","967",NULL,NULL
"6203","27","3738","947",NULL,"1"
"6204","25","3738","991",NULL,NULL
"6205","85","3738","992",NULL,NULL
"6206","27","3739","940",NULL,"1"
"6211","27","3741","941",NULL,"1"
"6212","25","3741","994",NULL,NULL
"6213","85","3741","995",NULL,NULL
"6217","27","3743","940",NULL,"1"
"6218","27","3743","943",NULL,"1"
"6219","25","3743","994",NULL,NULL
"6220","85","3743","995",NULL,NULL
"6221","27","3744","940",NULL,"1"
"6222","25","3744","994",NULL,NULL
"6223","85","3744","995",NULL,NULL
"6224","27","3745","940",NULL,"1"
"6225","25","3745","994",NULL,NULL
"6226","85","3745","995",NULL,NULL
"6227","27","3746","940",NULL,"1"
"6228","27","3746","942",NULL,"1"
"6229","25","3746","994",NULL,NULL
"6230","85","3746","995",NULL,NULL
"6231","27","3747","946",NULL,"1"
"6232","25","3747","994",NULL,NULL
"6233","85","3747","995",NULL,NULL
"6234","27","3748","946",NULL,"1"
"6235","25","3748","994",NULL,NULL
"6236","85","3748","995",NULL,NULL
"6237","27","3749","941",NULL,"1"
"6238","27","3749","951",NULL,"1"
"6239","27","3750","941",NULL,"1"
"6240","25","3750","997",NULL,NULL
"6246","27","3755","940",NULL,"1"
"6247","27","3755","942",NULL,"1"
"6248","27","3756","940",NULL,"1"
"6249","27","3757","940",NULL,"1"
"6250","27","3757","942",NULL,"1"
"6251","27","3758","940",NULL,"1"
"6252","27","3758","942",NULL,"1"
"6253","27","3759","940",NULL,"1"
"6254","27","3759","942",NULL,"1"
"6255","25","3759","54",NULL,NULL
"6256","27","3760","954",NULL,"1"
"6257","27","3761","954",NULL,"1"
"6258","27","3762","940",NULL,"1"
"6261","27","3765","941",NULL,"1"
"6262","25","3765","953",NULL,NULL
"6263","27","3766","1000",NULL,"1"
"6264","27","3767","947",NULL,"1"
"6265","27","3768","947",NULL,"1"
"6266","27","3769","941",NULL,"1"
"6268","27","3771","1292",NULL,"1"
"6269","25","3771","1001",NULL,NULL
"6270","27","3772","940",NULL,"1"
"6272","27","3774","941",NULL,"1"
"6273","27","3775","1000",NULL,"1"
"6277","27","3777","1292",NULL,"1"
"6278","25","3777","599",NULL,NULL
"6279","85","3777","1005",NULL,NULL
"6280","27","3778","1292",NULL,"1"
"6281","27","3779","947",NULL,"1"
"6282","25","3779","1006",NULL,NULL
"6283","85","3779","1007",NULL,NULL
"6284","27","3780","1008",NULL,"1"
"6285","27","3781","1292",NULL,"1"
"6287","27","3783","954",NULL,"1"
"6288","27","3784","940",NULL,"1"
"6293","27","3786","1292",NULL,"1"
"6294","85","3786","1011",NULL,NULL
"6301","27","3789","1292",NULL,"1"
"6302","25","3789","1012",NULL,NULL
"6303","85","3789","1011",NULL,NULL
"6304","27","3790","1292",NULL,"1"
"6305","25","3790","1012",NULL,NULL
"6306","85","3790","1011",NULL,NULL
"6307","27","3791","941",NULL,"1"
"6308","25","3791","89",NULL,NULL
"6309","85","3791","593",NULL,NULL
